"2020
rank",City,State[c],"2020
census","2010
census",Change,2016 land area,,2016 population density,,Location,CIT program,Start,Source,Other programs,
127,Tallahassee,Florida,"196,169","181,376",0.0816,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2,30.45°N 84.25°W,,2004,,,
128,Grand Prairie,Texas,"196,100","175,396",0.118,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2",32.68°N 97.02°W,,DALLAS,,,
129,McKinney,Texas,"195,308","131,117",0.4896,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2",33.19°N 96.66°W,,unclear,,,
130,Cape Coral,Florida,"194,016","154,305",0.2574,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2,26.64°N 81.99°W,,2004,,,
131,Sioux Falls,South Dakota,"192,517","153,888",0.251,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2,43.53°N 96.73°W,,unclear,,,
132,Peoria,Arizona,"190,985","154,065",0.2396,175.7 sq mi,455.1 km2,934/sq mi,361/km2,33.78°N 112.30°W,,unclear,,,
133,Providence,Rhode Island,"190,934","178,042",0.0724,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",41.82°N 71.41°W,,unclear,,,
134,Vancouver,Washington,"190,915","161,791",0.18,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2",45.63°N 122.59°W,,2015,SEATTLE ABOVE,,
135,Knoxville,Tennessee,"190,740","178,874",0.0663,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2,35.97°N 83.94°W,,2021,,,
136,Akron,Ohio,"190,469","199,110",−4.34%,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2",41.08°N 81.52°W,,2000,,,
137,Shreveport,Louisiana,"187,593","199,311",−5.88%,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2,32.46°N 93.79°W,,2021,,,
138,Mobile,Alabama,"187,041","195,111",−4.14%,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2,30.66°N 88.10°W,,UNCLEAR,,,
139,Brownsville,Texas,"186,738","175,023",0.0669,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2,25.99°N 97.45°W,,UNCLEAR,,,
140,Newport News[m],Virginia,"186,247","180,719",0.0306,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",37.07°N 76.52°W,,2001,,,
141,Fort Lauderdale,Florida,"182,760","165,521",0.1041,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2",26.14°N 80.14°W,,FLORIDA,,,
142,Chattanooga,Tennessee,"181,099","167,674",0.0801,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,35.06°N 85.24°W,,2009,,,
143,Tempe,Arizona,"180,587","161,719",0.1167,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2",33.38°N 111.93°W,,unclear,,,
144,Aurora,Illinois,"180,542","197,899",−8.77%,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2",41.76°N 88.29°W,,2009,,,
145,Santa Rosa,California,"178,127","167,815",0.0614,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",38.44°N 122.70°W,,unclear,,,
146,Eugene,Oregon,"176,654","156,185",0.1311,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",44.05°N 123.11°W,,,,CAHOOTS,
147,Elk Grove,California,"176,124","153,015",0.151,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2",38.41°N 121.38°W,,table,,,
148,Salem,Oregon,"175,535","154,637",0.1351,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2",44.92°N 123.02°W,,unclear,,,
149,Ontario,California,"175,265","163,924",0.0692,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2",34.03°N 117.60°W,,unclear,,,
150,Cary[v],North Carolina,"174,721","135,234",0.292,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",35.78°N 78.81°W,,2005,,,
